Company,90–100% months,75–90% months,50–75% months,25–50% months,Estimated Revenue ($)
"PETRO-HUNT, L.L.C.",1,1,0,11,102233410.4
"GRAYSON MILL OPERATING, LLC",2,0,3,8,88464984.43
"SLAWSON EXPLORATION COMPANY, INC.",0,0,1,6,39362303.3
SINCLAIR OIL & GAS COMPANY,0,0,1,3,29594990.25
"SOGC, INC.",2,0,1,1,26178561.83
"HESS BAKKEN INVESTMENTS II, LLC",0,0,0,2,24189527.05
OASIS PETROLEUM NORTH AMERICA LLC,0,0,0,1,19054365.77
"KRAKEN OPERATING, LLC",1,0,1,2,17474521.9
XTO ENERGY INC,0,0,0,1,16274713.61
Ovintiv Production Inc.,0,0,0,3,15244741.75
"ZAVANNA, LLC",0,0,1,0,12608819.96
NEPTUNE OPERATING LLC,1,1,0,1,8869783.914
Bowline Energy LLC,0,0,0,1,7177304.214
HUNT OIL COMPANY,0,0,1,1,4613174.064
"WPX ENERGY WILLISTON, LLC",0,0,0,1,3748103.622
"KODA RESOURCES OPERATING, LLC",0,0,0,2,2733672.348
"FORMENTERA OPERATIONS, LLC",0,0,1,0,2526107.868
"IRON OIL OPERATING, LLC",1,0,0,1,2258748.234
ROCKPORT ENERGY SOLUTIONS LLC,1,0,0,0,1474216.02
